id,uuid,campaign_id,user_id,ticket_number,is_winning,created_at,updated_at
1,3b398ac0-f681-43cd-80b1-17b263c6fa22,4,162,952264,False,2026-01-27 21:45:53.733539+07,2026-01-27 21:45:53.733539+07
2,84419306-afe8-400c-b5ea-a34a2bdb7267,4,162,159053,False,2026-01-27 21:45:53.733539+07,2026-01-27 21:45:53.733539+07
3,a536d99c-fe51-4c5b-bf07-b4c0b0e796dc,4,162,416246,False,2026-01-27 22:15:12.61464+07,2026-01-27 22:15:12.61464+07
4,5aa5c0fa-07cb-45ec-9dc3-ff312ce254b5,4,163,966128,False,2026-01-27 23:38:17.701781+07,2026-01-27 23:38:17.701781+07
5,ff5d8954-3eaa-4071-b3d2-f8b949436bba,4,163,449241,False,2026-01-27 23:38:17.701781+07,2026-01-27 23:38:17.701781+07
6,04c9a2f6-1d32-410c-afec-01b6a222912b,4,163,271351,False,2026-01-27 23:38:17.701781+07,2026-01-27 23:38:17.701781+07
7,babe1f7b-25f8-4008-8930-e92b46741e20,4,2,236609,false,2026-01-28T06:27:21.092Z,2026-01-28T06:27:21.092Z
8,c5df6618-ffef-45f1-b5ff-4810acf9ff45,4,3,804807,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
9,da4dd14e-8778-4740-9fd1-a3aa9aaec183,4,1,621253,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
10,f27cb854-d778-4660-9755-473071851aab,4,2,577073,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
11,cf43fb2e-a308-44fc-95cc-1710d26c22eb,4,3,460978,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
12,9dd6c322-9cd4-474e-bb7b-9b69e596f517,4,1,562589,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
13,5910698e-cc55-4dbc-9b8f-072d9ff32f0e,4,2,135423,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
14,fd63b6ae-996b-4997-b32a-672ff3924a8f,4,3,849251,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
15,d94445f8-2592-4974-aaf0-8ff84bfca548,4,1,451899,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
16,36e0deca-fbc4-431f-9faf-3f25de9ffe6e,4,2,619610,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
17,df523da4-8955-4306-af0e-08fdf8eebbd2,4,3,019145,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
18,57dbbe89-f579-4ff7-89ae-b178810d699a,4,1,881978,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
19,2747d8a7-d3ca-4847-8bfe-58ece1e259b1,4,2,451093,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
20,23331499-0ffa-4dec-adf6-2d8ad620a55e,4,3,227876,false,2026-01-28T06:27:21.093Z,2026-01-28T06:27:21.093Z
21,3f525b17-741e-421d-8026-ff96f1c2c39f,4,1,792870,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
22,4df9b7d8-0bad-41e1-8cfc-20e57e1ffa14,4,2,042147,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
23,a633b048-b080-4186-8032-9b180f903915,4,3,871404,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
24,aa0cde93-3df1-4499-b246-d7843b64f237,4,1,495472,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
25,76cf7ccd-68ee-4249-a79d-f906a0d40458,4,2,746685,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
26,cbb4487c-a593-4c26-ba4f-543ca5086fc1,4,3,468392,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
27,0a861acc-7406-4459-a3e8-83807ffef8cd,4,1,456601,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
28,7293ec6f-3995-4651-8f0f-d900fb7ba16e,4,2,050740,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
29,62f240da-9d51-4824-bc27-10119d359c0a,4,3,212981,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
30,89935176-5aef-4aba-8e65-e0eb04a0a3bd,4,1,236395,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
31,5948f9ec-8f8d-477c-af21-34c2edacfd29,4,2,648146,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
32,e063f9f5-cc9b-4bac-a5fe-443863dea722,4,3,324383,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
33,b83c5d0b-3184-4ff2-82f1-aae63694baf1,4,1,540563,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
34,5a942d65-102f-449b-9961-6d3733eaf300,4,2,162601,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
35,957219fe-a9ec-48af-87ef-ac532a469799,4,3,224400,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
36,3f8d4560-682f-4fc1-a2c5-c6a6d7748535,4,1,382382,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
37,7fba3889-a66f-4b33-bb35-ddf841dcb239,4,2,916145,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
38,6c6801f5-e205-4be7-86fd-41449388fa2e,4,3,251476,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
39,5c38bada-4dd4-4588-b8d5-45bde790f90d,4,1,656383,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
40,09adcc3c-f7cf-4a33-89fd-68af6dabbb91,4,2,457321,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
41,1ffd741c-5821-4753-b83e-9c2ecf20b6a9,4,3,529624,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
42,c448ace8-9613-4ecf-bb7f-d573f78969d1,4,1,030478,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
43,8e5590ee-0a19-447d-80d4-fd871d28fad5,4,2,260187,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
44,65b44ef8-6b8c-44ad-9601-248d641e8a41,4,3,089814,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
45,c61327e8-3b0e-484c-a563-3b58e4e5adbc,4,1,258824,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
46,8b5a6016-f259-4479-a53e-d8fd98e68de8,4,2,401527,false,2026-01-28T06:27:21.094Z,2026-01-28T06:27:21.094Z
